post_id,listing_key,title,slug,publication_status,standard_status,developer,city,province,country,occupancy_year,list_price,featured_image_url,image_count,html_length,section_count,unit_type_count,price_count,deposit_plan_count,incentive_count,amenity_count,document_count,warning_count,audit_file
19147,estate4u-wp-19147,"Milton Village By Great Gulf, Milton",milton-village-great-gulf-milton,publish,Pre-Construction,Great Gulf,Milton,Ontario,Canada,2025,1049990,https://estate-4u.com/wp-content/uploads/2024/07/MIL.gif,6,2134,3,3,1,2,0,1,0,5,listings/19147-milton-village-great-gulf-milton.html
19264,estate4u-wp-19264,"Vicinity West By Mattamy Homes, Barrie",vicinity-west-mattamy-homes-barrie,publish,Pre-Construction,Mattamy Homes,Barrie,Ontario,Canada,2025,600000,https://estate-4u.com/wp-content/uploads/2024/07/VH-EM-Block-2.jpg,6,2055,3,3,1,3,0,3,0,1,listings/19264-vicinity-west-mattamy-homes-barrie.html
19272,estate4u-wp-19272,"Meadows By Opus Homes, Whitby",meadows-opus-homes-whitby,publish,Pre-Construction,Opus Homes,Whitby,Ontario,Canada,2026,1000000,https://estate-4u.com/wp-content/uploads/2024/07/Meadows-Opus-Homes-Whitby.png,5,1630,3,4,1,2,0,1,0,1,listings/19272-meadows-opus-homes-whitby.html
19283,estate4u-wp-19283,"Meadowlark Enclave By Treasure Hill, Bolton",meadowlark-enclave-treasure-hill-bolton,publish,Coming Soon,Treasure Hill,Bolton,Ontario,Canada,2026,1000000,https://estate-4u.com/wp-content/uploads/2024/07/Meadowlark-Enclave-by-Treasure-Hill-Bolton.png,5,1371,3,2,1,0,0,3,0,1,listings/19283-meadowlark-enclave-treasure-hill-bolton.html
19358,estate4u-wp-19358,"Heartwood By Cachet Homes, Woodstock",heartwood-cachet-homes-woodstock,publish,Pre-Construction,Cachet Homes,Woodstock,Ontario,Canada,2025,500000,https://estate-4u.com/wp-content/uploads/2024/07/HW-STREETSCAPE-2048x1106-1.jpg,6,1843,3,3,1,2,0,6,0,1,listings/19358-heartwood-cachet-homes-woodstock.html
19367,estate4u-wp-19367,"Festival West By Grandview, Stratford",festival-west-by-grandview-homes-stratford,publish,Pre-Construction,Grandview Homes,Stratford,Ontario,Canada,2025,500000,https://estate-4u.com/wp-content/uploads/2024/07/1-4.png,6,1279,3,4,1,2,0,0,0,1,listings/19367-festival-west-by-grandview-homes-stratford.html
19392,estate4u-wp-19392,"Seaton Whitevale By Mattamy, Pickering",seaton-whitevale-by-mattamy-pickering,publish,Pre-Construction,Mattamy Homes,Pickering,Ontario,Canada,2025,1011990,https://estate-4u.com/wp-content/uploads/2024/07/Screenshot-2024-07-09-104930.png,7,1025,3,3,1,3,0,2,1,3,listings/19392-seaton-whitevale-by-mattamy-pickering.html
19401,estate4u-wp-19401,"Maplewood Park By Losani, Stoney Creek",maplewood-park-by-losani-stoney-creek,publish,Pre-Construction,Losani Homes,Stoney Creek,Ontario,Canada,2026,899900,https://estate-4u.com/wp-content/uploads/2024/07/1-3.png,3,1580,1,3,1,1,0,1,0,0,listings/19401-maplewood-park-by-losani-stoney-creek.html
19516,estate4u-wp-19516,"Heights Of Harmony By Minto, Oshawa",heights-of-harmony-by-minto-oshawa,publish,Pre-Construction,Minto Communities,Oshawa,Ontario,Canada,2025,689900,https://estate-4u.com/wp-content/uploads/2024/07/RLT-–-Front-On-–-Modern-Farmhouse-low-res-disclaimer-scaled.jpg,2,1250,3,2,1,2,0,1,0,1,listings/19516-heights-of-harmony-by-minto-oshawa.html
19667,estate4u-wp-19667,"Arlington Meadows By Grandview, Paris",arlington-meadows-by-grandview-homes-paris,publish,Pre-Construction,Grandview Homes,Paris,Ontario,Canada,2026,698900,https://estate-4u.com/wp-content/uploads/2024/07/Arlington-Meadows-By-Grandview-Paris.png,5,935,2,3,1,2,0,2,0,0,listings/19667-arlington-meadows-by-grandview-homes-paris.html
19676,estate4u-wp-19676,"Lakehaven By Mattamy Homes, Innisfil",lakehaven-by-mattamy-homes-innisfil,publish,Pre-Construction,Mattamy Homes,Innisfil,Ontario,Canada,2025,762990,https://estate-4u.com/wp-content/uploads/2024/07/gte_lakehaven_gibson.jpg,7,745,1,2,1,2,0,2,0,0,listings/19676-lakehaven-by-mattamy-homes-innisfil.html
19712,estate4u-wp-19712,"Unionville By Fieldgate Homes, Markham",unionville-fieldgate-homes-markham,publish,Pre-Construction,Fieldgate Homes,Markham,Ontario,Canada,2026,1279900,https://estate-4u.com/wp-content/uploads/2024/07/Screenshot-2024-07-11-172156.png,9,1031,1,3,1,2,0,2,0,0,listings/19712-unionville-fieldgate-homes-markham.html
19951,estate4u-wp-19951,"Hampton Park By Di Cenzo, Hamilton",hampton-park-di-cenzo-homes-hamilton,publish,Pre-Construction,Di Cenzo Homes,Hamilton,Ontario,Canada,2025,699900,https://estate-4u.com/wp-content/uploads/2024/07/HamptonPark-Render.jpg,2,1724,3,2,1,2,0,7,0,1,listings/19951-hampton-park-di-cenzo-homes-hamilton.html
19961,estate4u-wp-19961,"Juniper Gate By Remington, Georgetown",juniper-gate-remington-homes-georgetown,publish,Pre-Construction,Remington Homes,Georgetown,Ontario,Canada,2025,899900,https://estate-4u.com/wp-content/uploads/2024/07/1-2.png,4,1222,3,3,1,2,0,5,0,1,listings/19961-juniper-gate-remington-homes-georgetown.html
20091,estate4u-wp-20091,"Willows By Marlin Spring, Courtice",willows-marlin-spring-courtice,publish,Pre-Construction,Marlin Spring Developments,Courtice,Ontario,Canada,2026,819990,https://estate-4u.com/wp-content/uploads/2024/07/Willows-Header-Image-scaled-1.jpg,5,2081,4,4,1,2,0,9,0,1,listings/20091-willows-marlin-spring-courtice.html
20155,estate4u-wp-20155,"Spring Valley By Pearl Valley, Brampton",spring-valley-pearl-valley-brampton,publish,Pre-Construction,Pearl Valley Homes,Brampton,Ontario,Canada,2025,1499900,https://estate-4u.com/wp-content/uploads/2024/07/Spring-Valley-Pearl-Valley-Brampton-1.png,3,1349,1,2,1,2,0,0,1,0,listings/20155-spring-valley-pearl-valley-brampton.html
20375,estate4u-wp-20375,The Valley Land by Fieldgate in Milton,the-valley-land-by-fieldgate-in-milton,publish,Pre-Construction,Fieldgates Home,Milton,Ontario,Canada,2025,1179990,https://estate-4u.com/wp-content/uploads/2024/07/5-4.png,5,1709,1,2,1,2,0,4,1,0,listings/20375-the-valley-land-by-fieldgate-in-milton.html
20465,estate4u-wp-20465,"Calderwood by Empire Communities, Thorold",calderwood-empire-communities-thorold,publish,Pre-Construction,Empire Communities,Thorold,Ontario,Canada,2025,779990,https://estate-4u.com/wp-content/uploads/2024/07/Calderwood-Homes-In-Thorold.png,3,2159,1,2,1,2,0,4,1,0,listings/20465-calderwood-empire-communities-thorold.html
20468,estate4u-wp-20468,"Hawthorne East by Mattamy, Milton",hawthorne-east-by-mattamy-milton,publish,,Mattamy Homes,Milton,Ontario,Canada,2026,739990,https://estate-4u.com/wp-content/uploads/2024/07/maxeycorne.jpg.jpg,7,3952,1,2,1,2,1,3,1,0,listings/20468-hawthorne-east-by-mattamy-milton.html
20489,estate4u-wp-20489,Amira By Treasure Hill in Brampton,amria-by-treasure-hill-in-brampton,publish,Pre-Construction,Treasure Hill,Brampton,Ontario,Canada,2026,1699900,https://estate-4u.com/wp-content/uploads/2024/07/Valour-7-A.jpg-scaled.webp,5,2249,1,2,1,2,0,1,1,0,listings/20489-amria-by-treasure-hill-in-brampton.html
20520,estate4u-wp-20520,"Wildflower By Mattamy Homes, Kitchener",wildflower-by-mattamy-homes-kitchener,publish,Pre-Construction,Mattamy Homes,Kitchener,Ontario,Canada,2026,674990,https://estate-4u.com/wp-content/uploads/2024/07/TH-CR2.jpg,7,2363,1,3,1,2,1,4,1,0,listings/20520-wildflower-by-mattamy-homes-kitchener.html
20532,estate4u-wp-20532,"Midhurst Valley By Countrywide, Barrie",midhurst-valley,publish,Pre-Construction,Countrywide Homes,Barrie,Ontario,Canada,2024,899990,https://estate-4u.com/wp-content/uploads/2024/07/Midhurst-Valley-By-Countrywide-Barrie.png,7,1848,1,3,1,2,0,0,1,0,listings/20532-midhurst-valley.html
20570,estate4u-wp-20570,"South Barrie By Aspen Ridge, Barrie",south-barrie-by-aspen-ridge-barrie,publish,Pre-Construction,Aspen Ridge,Barrie,,Canada,2025,862990,https://estate-4u.com/wp-content/uploads/2024/07/cedars-c.jpg,2,1713,1,3,1,2,0,2,1,0,listings/20570-south-barrie-by-aspen-ridge-barrie.html
20573,estate4u-wp-20573,"Nature’s Grand By Liv, Brantford",natures-grand-by-liv-communities-brantford,publish,Pre-Construction,Liv Communities,Brantford,Ontario,Canada,2025,749990,https://estate-4u.com/wp-content/uploads/2024/07/Azure-9-B-scaled.jpg,10,2652,1,3,1,2,0,2,1,0,listings/20573-natures-grand-by-liv-communities-brantford.html
20591,estate4u-wp-20591,"South Barrie By Regal Crest, Barrie",south-barrie-by-regal-crest-barrie,publish,Pre-Construction,Regal Crest Homes,Barrie,Ontario,Canada,2026,859990,https://estate-4u.com/wp-content/uploads/2024/08/Benson-scaled.webp,7,1911,3,3,1,2,0,8,0,1,listings/20591-south-barrie-by-regal-crest-barrie.html
20600,estate4u-wp-20600,"Terra By Great Gulf, Barrie",terra-by-great-gulf-barrie,publish,Pre-Construction,Great Gulf,Barrie,Ontario,Canada,2025,1004990,https://estate-4u.com/wp-content/uploads/2024/08/GREAT-GULF-TERRA-STREETSCAPE-RENDERING-scaled.jpg,7,1148,2,2,1,2,0,7,0,1,listings/20600-terra-by-great-gulf-barrie.html
20611,estate4u-wp-20611,"Summerlyn Village By Great Gulf, Bradford",summerlyn-village-by-great-gulf-bradford,publish,Pre-Construction,Great Gulf,Bradford,Ontario,Canada,2025,1270990,https://estate-4u.com/wp-content/uploads/2024/08/1.png,7,1107,2,2,1,2,0,5,0,1,listings/20611-summerlyn-village-by-great-gulf-bradford.html
20621,estate4u-wp-20621,"Bodhi Towns By Countrywide, Brampton",bodhi-towns-by-countrywide-brampton,publish,Pre-Construction,Countrywide,Brampton,Ontario,Canada,2025,1099990,https://estate-4u.com/wp-content/uploads/2024/08/Floorplans_PNG_Rear_Lane_Townhome_Aura_End_Render_CW_BT_RLTH_Aura_End_A_Render_Front.jpg,3,976,2,2,1,2,0,5,0,1,listings/20621-bodhi-towns-by-countrywide-brampton.html
20637,estate4u-wp-20637,"Fairway Meadows By Laurelcrest, Cambridge",fairway-meadows-by-laurelcrest-cambridge,publish,Pre-Construction,Laurelcrest Homes,Cambridge,Ontario,Canada,2025,979990,https://estate-4u.com/wp-content/uploads/2024/08/3-1.png,6,1586,1,2,1,2,0,0,1,0,listings/20637-fairway-meadows-by-laurelcrest-cambridge.html
20649,estate4u-wp-20649,"East Preserve By Remington, Oakville",east-preserve-by-remington-oakville,publish,Pre-Construction,Remington Homes,Oakville,Ontario,Canada,2025,1099990,https://estate-4u.com/wp-content/uploads/2024/08/1-2.png,7,1181,3,3,1,2,0,3,0,1,listings/20649-east-preserve-by-remington-oakville.html
20680,estate4u-wp-20680,"Empire Avalon Homes, Caledonia",avalon-empire-caledonia,publish,Pre-Construction,Empire Communities,Caledonia,Ontario,Canada,2025,564990,https://estate-4u.com/wp-content/uploads/2024/08/33-04-B.jpg,7,3160,3,3,1,2,0,10,0,1,listings/20680-avalon-empire-caledonia.html
20694,estate4u-wp-20694,"Arbor West By Caivan, Brampton",arbor-west-by-caivan-brampton,publish,Pre-Construction,Caivan,Brampton,Ontario,Canada,2025,1464990,https://estate-4u.com/wp-content/uploads/2024/08/64778400-0-31-Collection-Plan-2-scaled.jpg,8,2430,1,2,1,2,0,2,1,0,listings/20694-arbor-west-by-caivan-brampton.html
20717,estate4u-wp-20717,"Sweetbriar By Coscorp, Milton",sweetbriar-by-coscorp-milton,publish,Pre-Construction,Coscorp Homes,Milton,Ontario,Canada,2025,969900,https://estate-4u.com/wp-content/uploads/2024/08/rendering-town.jpg,6,1404,1,3,1,2,0,0,1,0,listings/20717-sweetbriar-by-coscorp-milton.html
20737,estate4u-wp-20737,"Moffat Creek By Ridgeview, Cambridge",moffat-creek-ridgeview-homes-cambridge,publish,Pre-Construction,Ridgeview Homes,Cambridge,Ontario,Canada,2025,774800,https://estate-4u.com/wp-content/uploads/2024/08/Moffat-Creek-1.png,7,1467,2,3,1,2,0,5,0,1,listings/20737-moffat-creek-ridgeview-homes-cambridge.html
20762,estate4u-wp-20762,"Riverview Heights By Ashley, Brampton",riverview-heights-by-ashley-oaks-brampton,publish,Pre-Construction,Ashley Oaks,Brampton,Ontario,Canada,2025,1442995,https://estate-4u.com/wp-content/uploads/2024/08/411_CIRRUS-_A.png,4,1382,1,2,1,2,0,1,1,0,listings/20762-riverview-heights-by-ashley-oaks-brampton.html
20774,estate4u-wp-20774,"Cassette By Caivan, Ottawa",cassette-by-caivan-ottawa,publish,Pre-Construction,Caivan,Ottawa,Ontario,Canada,2025,519990,https://estate-4u.com/wp-content/uploads/2024/08/20-Elevation-A-web-1320x566-1.jpg,4,1322,2,2,1,2,0,8,0,1,listings/20774-cassette-by-caivan-ottawa.html
20788,estate4u-wp-20788,"Erin glen By Cachet homes, Erin",erin-glen-by-cachet-homes-erin,publish,Pre-Construction,Cachet Homes,Erin,Ontario,Canada,2025,919990,https://estate-4u.com/wp-content/uploads/2024/08/erin-glen-exterior-bnr-img.jpg,8,2180,3,2,1,2,0,0,1,0,listings/20788-erin-glen-by-cachet-homes-erin.html
20811,estate4u-wp-20811,"Black Oaks By Freure Homes, Cambridge",black-oaks-by-freure-homes-cambridge,publish,Pre-Construction,Freure Homes,Cambridge,Ontario,Canada,2026,754900,https://estate-4u.com/wp-content/uploads/2024/09/PACKAGE-3-1-1200x498-1.jpg,6,1285,2,2,1,3,0,9,0,0,listings/20811-black-oaks-by-freure-homes-cambridge.html
20828,estate4u-wp-20828,"Union By Mattamy Homes, Brampton",union-by-mattamy-homes-brampton,publish,Pre-Construction,Mattamy Homes,Brampton,Ontario,Canada,2026,689990,https://estate-4u.com/wp-content/uploads/2024/09/GTL_Union3_TheAcornEndMO.jpg,7,1844,2,2,1,2,1,4,1,0,listings/20828-union-by-mattamy-homes-brampton.html
20838,estate4u-wp-20838,"Menkes By Winchester Estates, Oshawa",menkes-by-winchester-estates-oshawa,publish,Pre-Construction,Winchester Estates,Oshawa,Ontario,Canada,2026,849900,https://estate-4u.com/wp-content/uploads/2024/09/winchester-estates-header-hero.jpg,7,1398,1,3,1,2,0,0,1,0,listings/20838-menkes-by-winchester-estates-oshawa.html
20865,estate4u-wp-20865,"Brooklin By Zancor Homes, Whitby",brooklin-by-zancor-homes-whitby,publish,Pre-Construction,Zancor Homes,Whitby,Ontario,Canada,2027,949990,https://estate-4u.com/wp-content/uploads/2024/09/64992124-0-Zancor-Brooklin-St-1.jpg,8,2085,1,3,1,2,0,1,1,0,listings/20865-brooklin-by-zancor-homes-whitby.html
20909,estate4u-wp-20909,"Meadows By Fieldgate Homes, Whitby",meadows-by-fieldgate-homes-whitby,publish,Pre-Construction,Fieldgate Homes,Whitby,Ontario,Canada,2026,789990,https://estate-4u.com/wp-content/uploads/2024/09/Screenshot-Capture-2024-10-01-20-33-43.png,8,2581,2,3,1,2,0,2,1,0,listings/20909-meadows-by-fieldgate-homes-whitby.html
20935,estate4u-wp-20935,"Dreamscape By Fieldgate, Oshawa",dreamscape-by-fieldgate-oshawa,publish,Pre-Construction,Fieldgate Homes,Oshawa,Ontario,Canada,2026,699990,https://estate-4u.com/wp-content/uploads/2024/10/Dreamscape-Towns-3.png,3,1289,2,2,1,2,0,3,1,0,listings/20935-dreamscape-by-fieldgate-oshawa.html
21093,estate4u-wp-21093,"Brightside By Remington, Brampton",brightside-by-remington-brampton,publish,Pre-Construction,Remington Homes,Brampton,Ontario,Canada,2025,849990,https://estate-4u.com/wp-content/uploads/2024/10/The-Bright-Side-at-Mayfield-Village-Exteriors-of-Rear-Lane-Towns-1-v7.jpg,2,776,1,2,1,2,0,0,1,0,listings/21093-brightside-by-remington-brampton.html
21097,estate4u-wp-21097,"Palmetto By Treasure Hills, Oshawa",palmetto-by-treasure-hills-oshawa,publish,Pre-Construction,Treasure Hills,Oshawa,Ontario,Canada,2025,859900,https://estate-4u.com/wp-content/uploads/2024/10/2-1.png,5,1468,1,4,1,2,0,0,1,0,listings/21097-palmetto-by-treasure-hills-oshawa.html
21200,estate4u-wp-21200,"Sienna Woods By Liv Communities, Brantford",sienna-woods-by-liv-communities-brantford,publish,Pre-Construction,Liv Communities,Brantford,Ontario,Canada,2026,569990,https://estate-4u.com/wp-content/uploads/2024/10/1.png,5,1556,1,3,1,2,0,2,1,0,listings/21200-sienna-woods-by-liv-communities-brantford.html
21413,estate4u-wp-21413,"Seaton Winding By Fieldgate, Pickering",seaton-winding-by-fieldgate-pickering,publish,Pre-Construction,Fieldgate Homes,Pickering,Ontario,Canada,2026,799990,https://estate-4u.com/wp-content/uploads/2024/11/Avery.jpg,5,1396,2,2,1,2,0,4,1,0,listings/21413-seaton-winding-by-fieldgate-pickering.html
21423,estate4u-wp-21423,"Northshore By National Homes, Burlington",northshore-by-national-homes-burlington,publish,Pre-Construction,National Homes,Burlington,Ontario,Canada,2025,799900,https://estate-4u.com/wp-content/uploads/2024/11/Screenshot-2024-07-18-at-3.25.32_PM.png,3,1416,1,2,1,2,0,3,1,0,listings/21423-northshore-by-national-homes-burlington.html
21432,estate4u-wp-21432,"Thomson Towns By Mattamy, Scarborough",thomson-towns-by-mattamy-homes-scarborough,publish,Pre-Construction,Mattamy Homes,Scarborough,Ontario,Canada,2025,989990,https://estate-4u.com/wp-content/uploads/2024/11/Thomson-Towns-Exterior-Street-Corner-View-of-Units-1-v7.jpg,3,1277,1,2,1,2,1,3,1,0,listings/21432-thomson-towns-by-mattamy-homes-scarborough.html
21440,estate4u-wp-21440,"Mayfield Village By Royal Pine, Brampton",mayfield-village-by-royal-pine-brampton,publish,Pre-Construction,Royal Pine Homes,Brampton,Ontario,Canada,2025,1059900,https://estate-4u.com/wp-content/uploads/2024/11/2.png,7,978,1,3,1,0,0,9,0,0,listings/21440-mayfield-village-by-royal-pine-brampton.html
21472,estate4u-wp-21472,"Cachet Binbrook By Cachet, Binbrook",cachet-binbrook-by-cachet-binbrook,publish,Pre-Construction,Cachet Homes,Binbrook,Ontario,Canada,2025,899990,https://estate-4u.com/wp-content/uploads/2024/12/2024_01_09_01_37_32_cachet_binbrook_exterior_2.webp,5,1355,2,2,1,2,0,6,0,1,listings/21472-cachet-binbrook-by-cachet-binbrook.html
21716,estate4u-wp-21716,"Luma By Liv Communities, Waterdown",luma-by-liv-communities-waterdown,publish,Pre-Construction,Liv Communities,Waterdown,Ontario,Canada,2026,699900,https://estate-4u.com/wp-content/uploads/2024/12/Luma-Urban-Towns-4.png,4,1727,1,2,1,2,0,4,1,0,listings/21716-luma-by-liv-communities-waterdown.html
21724,estate4u-wp-21724,"Tradition Country Lane By Andrin, Whitby",traditions-of-country-lane-by-andrin-whitby,publish,Pre-Construction,Andrin Homes,Whitby,Ontario,Canada,2026,1329990,https://estate-4u.com/wp-content/uploads/2024/12/unnamed-13.jpg,4,2045,1,2,1,2,0,4,1,0,listings/21724-traditions-of-country-lane-by-andrin-whitby.html
21770,estate4u-wp-21770,"Meadows By Great Gulf, Whitby",meadows-by-great-gulf-whitby,publish,,Great Gulf,Whitby,Ontario,Canada,2026,784990,https://estate-4u.com/wp-content/uploads/2024/12/WhatsApp-Image-2024-12-18-at-14.35.26_00ab4da2.jpg,5,1473,1,2,1,2,0,3,1,0,listings/21770-meadows-by-great-gulf-whitby.html
21818,estate4u-wp-21818,"Courtice Glen By Tribute, Courtice",courtice-glen-by-tribute-communities-courtice,publish,Pre-Construction,Tribute Communities,Courtice,Ontario,Canada,2026,854000,https://estate-4u.com/wp-content/uploads/2025/03/Courtice-Glen-Towns-1.png,1,1380,3,3,1,3,0,2,0,2,listings/21818-courtice-glen-by-tribute-communities-courtice.html
21896,estate4u-wp-21896,"Westfield By Great Gulf, Brampton",westfield-by-great-gulf-brampton,publish,Pre-Construction,Great Gulf,Brampton,Ontario,Canada,2026,914990,https://estate-4u.com/wp-content/uploads/2025/03/Designstor-21077_Block37_ViewB01_st1.70_5K06-scaled-1.jpg,2,1118,3,2,1,2,0,3,0,3,listings/21896-westfield-by-great-gulf-brampton.html
21998,estate4u-wp-21998,"Hansler Village By Marken, Welland",hansler-village-by-marken-welland,publish,Pre-Construction,Marken Homes,Welland,Ontario,Canada,2025,709500,https://estate-4u.com/wp-content/uploads/2024/12/hanslervillage-1-1280x960-1.jpg,1,926,2,2,1,3,0,5,0,0,listings/21998-hansler-village-by-marken-welland.html
23351,estate4u-wp-23351,"3117 Velebit Park Blvd, Burlington",3117-velebit-park-blvd,publish,Resale,,Burlington,Ontario,Canada,,1650000,https://estate-4u.com/wp-content/uploads/2025/05/DSC04433-scaled.jpg,19,1693,2,1,1,0,0,0,0,0,listings/23351-3117-velebit-park-blvd.html
23775,estate4u-wp-23775,"3366 Mikalda Rd, Burlington",3366-mikalda-rd-burlington,publish,Resale,,Burlington,Ontario,Canada,,849900,https://estate-4u.com/wp-content/uploads/2025/07/0.jpg,21,1766,2,1,1,0,0,0,0,0,listings/23775-3366-mikalda-rd-burlington.html
23859,estate4u-wp-23859,1179 Lloyd Landing Milton,1179-lloyd-landing-milton,publish,Resale,,Milton,Ontario,Canada,,799000,https://estate-4u.com/wp-content/uploads/2025/08/4-scaled.jpg,22,1255,2,1,1,0,0,0,0,0,listings/23859-1179-lloyd-landing-milton.html
24192,estate4u-wp-24192,"Cadence By Fusion, Cambridge",cadence-by-fusion-cambridge,publish,,Fusion,Cambridge,Ontario,Canada,2027,494990,https://estate-4u.com/wp-content/uploads/2026/02/40-Vega-C-FOR-1200.jpg,7,1940,1,2,1,2,0,0,1,0,listings/24192-cadence-by-fusion-cambridge.html
24220,estate4u-wp-24220,"Creekview by Branthaven, Milton",creekview-by-branthaven-milton,publish,,Branthaven,Milton,Ontario,Canada,2027,699990,https://estate-4u.com/wp-content/uploads/2026/02/Creekview-Collective-Back-to-Back-Towns-Collection-Rendering-scaled.png,3,2007,1,1,1,2,0,3,1,0,listings/24220-creekview-by-branthaven-milton.html
24241,estate4u-wp-24241,"Alister by Fusion Homes, Guelph",alister-by-fusion-homes-guelph,publish,,Fusion Homes,Guelph,Ontario,Canada,2026,679990,https://estate-4u.com/wp-content/uploads/2026/02/Alister-at-Solterra-Full-Site-Rendering-scaled.jpg,4,688,1,1,1,2,0,2,0,0,listings/24241-alister-by-fusion-homes-guelph.html
24246,estate4u-wp-24246,"Five Creeks by Great Gulf, Orangeville",five-creeks-by-great-gulf-orangeville,publish,,Great Gulf,Orangeville,Ontario,Canada,2026,813990,https://estate-4u.com/wp-content/uploads/2026/02/Screenshot-2026-02-09-113016.png,9,1424,1,1,1,2,0,1,0,0,listings/24246-five-creeks-by-great-gulf-orangeville.html
24248,estate4u-wp-24248,Stone rose by Treasure Hill in Niagara,stone-rose-by-treasure-hill-in-niagara,publish,,Treasure Hill,Niagara Falls,Ontario,Canada,2027,569900,https://estate-4u.com/wp-content/uploads/2026/02/R2-End-579x1024-5-1.webp,3,1411,2,1,1,2,0,3,0,0,listings/24248-stone-rose-by-treasure-hill-in-niagara.html
24251,estate4u-wp-24251,Wild Indigo by Madison Group in Kitchener,wild-indigo-by-madison-group-in-kitchener,publish,,Madison Group,Kitchener,Ontario,Canada,2027,679990,https://estate-4u.com/wp-content/uploads/2026/02/gallery-3.webp,2,1127,1,2,1,2,0,0,0,0,listings/24251-wild-indigo-by-madison-group-in-kitchener.html
24255,estate4u-wp-24255,Clairmont by Mattamy Homes in Guelph,clairmont-by-mattamy-homes-in-guelph,publish,,Mattamy Homes,Guelph,Ontario,Canada,2026,569990,https://estate-4u.com/wp-content/uploads/2026/02/119929_50086.jpeg,2,1319,1,1,1,2,0,2,0,0,listings/24255-clairmont-by-mattamy-homes-in-guelph.html
